text,label
"Connected Banking You agreed to share data with Verizon Verizon will access your account information securely, so you'll never need to share your Wells Fargo username and password. You chose to share",US_Bank
"Transfer canceled You canceled a repeating transfer series Here are the details: Amount $45.00 Transfer from Checking Account (....7842) Transfer to SAVINGS PLUS (....3291) Due date Dec 15, 2024 Review",US_Bank
"Transfer canceled Your transfer was canceled Here are the details: Amount $75.00 Transfer from Primary Account (....2156) Transfer to EMERGENCY FUND (....8903) Due date Jun 12, 2025 Review transfer",US_Bank
"Zelle® payment You sent a payment to Maria Garcia Here are the details: Amount $1200.00 Sent on Mar 15, 2025 Transaction number 25150073892 Memo Utilities If you need to cancel a payment, you can edit future-",US_Bank
"Payment scheduled Thank you for scheduling your credit card payment Here are the details of your payment: Account Bank of America Cash Rewards(...2847) Amount $423.67 Payment authorized on May 18, 2025 Effective",US_Bank
"An overview of your credit habits, score and more. Hi SARAH, Your score went up since Apr 10. Go to Credit Journey to see where you stand. See details your highlights From Apr 10 - May 15 Alerts You",US_Bank
"Dear Sir , Kindly find the attached document . Thanks and Regards, Priya M Customer Relations ICICI Bank Ltd | No - 287/2, MG Road, Near City Center, |Koramangala | Bangalore|Karnataka|India|560034|",US_Bank
"Hi David and Lisa, Thank you for coming in today and I am glad that we talked. Please feel free to reach out when you need help. Have a nice day and keep in touch! Amanda Chen | Wells Fargo | Customer",US_Bank
"Dear Sir/Ma'am, As per you request we have forwarding the International transfer form with this mail . Thanks and Regards, Rajesh K Branch Manager HDFC Bank Ltd | No - 142/A, Brigade Road, Opposite Metro",US_Bank
"Dear MICHAEL THOMPSON You're all set to receive paperless communications from Bank of America. We'll post the following documents online and won't be mailing them. PREMIUM CHECKING...4521 STATEMENTS We",US_Bank
"Dear MICHAEL THOMPSON You're all set to receive paperless communications from Bank of America. We'll post the following documents online and won't be mailing them. PREMIUM CHECKING...4521 TAX DOCUMENTS",US_Bank
"Dear MICHAEL THOMPSON, Welcome to BofA Online Banking . Once you complete your enrollment for BankofAmerica.com either on your personal computer or on the Mobile Banking app, you can take advantage of the",US_Bank
"Hi Kate, Thanks for helping me open the account today. I was trying to login online and it's not working. Should I wait longer or is it a server issue? --- Michael On Thu, Mar 21, 2025 at 2:15 PM",US_Bank
"Thank you for taking the time to meet with me and for setting up your access to Wells Fargo Online. If you have not done so already, we encourage you to download the Wells Fargo Mobile App . Together the",US_Bank
"Deposit confirmation Your mobile deposit was successful Here are the details: Amount $847.32 Deposited to Business Checking (....6754) Date processed Jun 02, 2025 Check number 1204 Review deposit",US_Bank
